scenario,kind,n_runs,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mean_false_positives,runs_without_fp,fp_rate
basic_ato,attack,10,1.0,0.0,1.0,0.0,1.0,0.0,,,
basic_brute_force,attack,10,1.0,0.0,1.0,0.0,1.0,0.0,,,
basic_dir_scan,attack,10,1.0,0.0,1.0,0.0,1.0,0.0,,,
brute_force_with_noise,attack,5,1.0,0.0,1.0,0.0,1.0,0.0,,,
dir_scan_with_noise,attack,5,1.0,0.0,1.0,0.0,1.0,0.0,,,
distributed_brute_force,attack,3,0.0,0.0,0.0,0.0,0.0,0.0,,,
low_and_slow,attack,3,0.0,0.0,0.0,0.0,0.0,0.0,,,
mixed_legitimate_and_attack,attack,5,1.0,0.0,1.0,0.0,1.0,0.0,,,
nat_false_positive,control,5,,,,,,,1,0,1.0
near_threshold_brute_force,control,5,,,,,,,0,5,0.0
only_normal_traffic,control,10,,,,,,,0,10,0.0
slow_burst_brute_force,attack,5,1.0,0.0,0.2,0.4472,1.0,0.0,,,
